geneID	log2FC.MCabs.vs.MCsim	pVal.MCabs.vs.MCsim	padj.MCabs.vs.MCsim	log2FC.MCabs.vs.MCcom	pVal.MCabs.vs.MCcom	padj.MCabs.vs.MCcom	log2FC.MCsim.vs.MCcom	pval.MCsim.vs.MCcom	padj.MCsim.vs.MCcom	log2FC.sex.Osada	sex.bias.category
FBgn0000008	-0.115013067716343	0.384417780303676	0.999491409568079	-0.0956157392681896	0.395681793807155	0.971848062393987	0.0186349696705918	0.85399072252614	0.983167076494024	-0.698130703224497	Female-biased
FBgn0000014	0.023488999754754	0.845834163481587	0.999491409568079	-0.128316752843707	0.215023891989012	0.919488163033942	-0.154541333041325	0.264281263219242	0.898970737699279	1.6338012853097	Male-biased
FBgn0000015	0.0569631056018737	0.594168289276263	0.999491409568079	-0.119115683716877	0.07117773608003	0.699856817621848	-0.178757730707811	0.102144388916298	0.814531361221648	3.15620735480415	Male-biased
FBgn0000017	0.141415661483842	0.117153300558986	0.999491409568079	-0.00186417522588919	0.976685913005401	0.997213863298096	-0.145179999185854	0.0902284620716427	0.804672803706043	-1.48940756647201	Female-biased
FBgn0000018	-0.152800223465282	0.128174746824665	0.999491409568079	-0.0625958942414862	0.551529555112968	0.981516223393688	0.0889037179805223	0.360473570610613	0.916563509689188	-0.0263039322753586	Unbiased
FBgn0000024	-0.0101306742706332	0.909465517387209	0.999491409568079	-0.0824805148229007	0.108524048642646	0.796648430643716	-0.0734182401806286	0.379573452664739	0.916563509689188	2.73319684074929	Male-biased
FBgn0000028	-0.0299607237723218	0.800256980991586	0.999491409568079	-0.102991044765658	0.368379306362279	0.966415745192466	-0.0725811797740509	0.578850835472326	0.937881965917347	5.37186840316443	Male-biased
FBgn0000032	0.0374080849136533	0.600947929212972	0.999491409568079	0.0685519308311826	0.279956098562568	0.931377071438701	0.0305905753136959	0.696396004173556	0.963156602436123	-1.79757249208517	Female-biased
FBgn0000036	0.0492645112333088	0.599139558977775	0.999491409568079	-0.0925908169882268	0.275197342418065	0.931377071438701	-0.143110820617387	0.134019635233047	0.839211305962176	3.37587144186586	Male-biased
FBgn0000037	0.204648600802357	0.0429469091602612	0.999491409568079	-0.00628530883547603	0.952211775883233	0.99468218671946	-0.212021570662359	0.0510928548871006	0.715830344075676	2.93806846159789	Male-biased
FBgn0000038	0.0357992934453908	0.586391154004244	0.999491409568079	0.00254131784842726	0.966675274827911	0.996781977779415	-0.0344710828732893	0.597384144835886	0.942370252240208	2.86685065147634	Male-biased
FBgn0000039	0.162137087659799	0.0888381900081772	0.999491409568079	0.150616966192221	0.0935331622379919	0.766487185728905	-0.0126072663351841	0.894729837081586	0.987333278014444	2.82043668515408	Male-biased
FBgn0000042	-0.0383419162930251	0.513197640703862	0.999491409568079	0.0188030883373656	0.772432036194733	0.991446860152515	0.0561613706999589	0.346387092931246	0.916563509689188	-0.805253709206694	Female-biased
FBgn0000043	-0.0184438264784878	0.744052264734083	0.999491409568079	0.0198298531499975	0.653024367699464	0.991446860152515	0.0375488772116708	0.499438578674492	0.93052479292655	-0.248148206347818	Unbiased
FBgn0000044	0.0702144238556442	0.437629321888655	0.999491409568079	-0.0464445227780606	0.524249438650308	0.980353454747421	-0.117549619610939	0.235855464587851	0.883465122619036	1.83010929452962	Male-biased
FBgn0000045	0.135522147738534	0.369152179050245	0.999491409568079	-0.0741347698532513	0.618949958779948	0.99004930682873	-0.21063324703439	0.149506418267434	0.842501659851314	3.16529493456028	Male-biased
FBgn0000046	0.094525048012937	0.206945659349494	0.999491409568079	0.023058593412243	0.745725176600422	0.991446860152515	-0.0722737511828183	0.388460503827052	0.916563509689188	3.0555563103599	Male-biased
FBgn0000047	-0.022452714608146	0.888223707200406	0.999491409568079	-0.285092899419703	0.407107600488984	0.971848062393987	-0.263516695328487	0.453071554463704	0.92016597700671	2.93644308894826	Male-biased
FBgn0000052	0.00234778308352048	0.972122848309969	0.999491409568079	0.0448272910258538	0.674023082836638	0.991446860152515	0.0414651164880952	0.70168204042285	0.964223216018339	-0.0499694397231022	Unbiased
FBgn0000053	0.306913601987099	0.0106001608399518	0.809366633206192	0.545667982555516	0.00121668624309416	0.0826055190632591	0.23794792508089	0.146481518984088	0.842501659851314	0.82170867535922	Male-biased
FBgn0000055	0.202486498692075	0.425874487458873	0.999491409568079	0.457853179010611	0.12316748804517	0.820643904722015	0.253955229399968	0.338247040794634	0.916563509689188	1.8297308411068	Male-biased
FBgn0000057	-0.0242292339032452	0.662906537307655	0.999491409568079	0.0185186292398558	0.757851464551805	0.991446860152515	0.0421184882476987	0.529695852561576	0.930989712693264	0.470373016974116	Unbiased
FBgn0000063	-0.037711578763841	0.764756246096884	0.999491409568079	0.026509896820247	0.823376534073986	0.991446860152515	0.0637026545976218	0.605692795389272	0.944946106549381	-1.95688212996181	Female-biased
FBgn0000064	-0.0209683035822808	0.756243376267984	0.999491409568079	-0.00771720539403409	0.898742071252111	0.992567936003601	0.0122427063815325	0.830907923978821	0.980423580351399	2.06085935624143	Male-biased
FBgn0000075	0.0445064154467932	0.783659002789754	0.999491409568079	-0.132170253385213	0.416551393590565	0.972105782995872	-0.17809012151984	0.222853773350944	0.876518623111466	-2.38799320272539	Female-biased
FBgn0000077	-0.00148667816007075	0.989153728379357	0.999491409568079	-0.0688538749834847	0.485674634459739	0.980353454747421	-0.0676216634575674	0.482154566698664	0.928009401974228	-1.09775630534139	Female-biased
FBgn0000078	0.262407071683068	0.0120958356515707	0.854655178334526	0.27415679698198	0.0202187119332953	0.418230125589369	0.0108698665322567	0.912459723778825	0.989151162458795	1.85444401329169	Male-biased
FBgn0000079	0.0433735117281281	0.664615755651431	0.999491409568079	0.0197731690827372	0.870848983051896	0.992199829458945	-0.0245538578716813	0.813595932848714	0.978078743158995	1.82171006323716	Male-biased
FBgn0000083	0.0482325354147276	0.492742641281077	0.999491409568079	0.0294927351296566	0.60421425125259	0.988720267564278	-0.019538969843244	0.758179706947266	0.971887811343229	0.869768766321701	Male-biased
FBgn0000084	-0.00670248422961964	0.943809828885194	0.999491409568079	-0.0166784569925245	0.746712868431276	0.991446860152515	-0.0107141683311689	0.910426415119934	0.989151162458795	0.279857250444906	Unbiased
FBgn0000094	0.111259214767902	0.2566094533258	0.999491409568079	0.102951616472433	0.271228744501153	0.931377071438701	-0.00923665713131525	0.863165123898077	0.983167076494024	5.33119462492214	Male-biased
FBgn0000097	0.122683779532978	0.125644454384027	0.999491409568079	0.00422799733515982	0.958317308015719	0.995981322572497	-0.11973690231272	0.189105041068905	0.860990954082916	-0.754528342401397	Female-biased
FBgn0000100	-0.0247562805417797	0.730417169591309	0.999491409568079	0.013193485515766	0.720430591841512	0.991446860152515	0.0369538456328809	0.598663969033771	0.94303055997869	-0.53868257076585	Female-biased
FBgn0000108	0.0514837663220038	0.544424286408325	0.999491409568079	-0.061855130633202	0.334113398689461	0.954169936081078	-0.114571793393512	0.201104435114921	0.868169897006305	2.43920291830409	Male-biased
FBgn0000109	-0.00717357479285825	0.950853161212607	0.999491409568079	0.119557475295495	0.198502700558505	0.907473431877127	0.126188788454719	0.287048540157415	0.903076564955224	-0.708760653827881	Female-biased
FBgn0000114	-0.0137259979093917	0.837078079971476	0.999491409568079	-0.0123400001410045	0.815188201799192	0.991446860152515	0.000435316358430129	0.994598113947332	0.998475446907552	-0.640212820442075	Female-biased
FBgn0000115	-0.0156882875089381	0.829240290788477	0.999491409568079	0.0198758889879886	0.779227185307181	0.991446860152515	0.0340764381659918	0.668007445268673	0.95602273088972	-0.603545041011833	Female-biased
