geneID	Gonad.Specificity.Index
FBgn0000003	0.0180419435383385
FBgn0000008	0.204827147761015
FBgn0000014	0.0171471393978172
FBgn0000015	0.00204952782602937
FBgn0000017	0.271963809610744
FBgn0000018	0.373038992511568
FBgn0000022	0.952361678789294
FBgn0000024	0.00034399379492726
FBgn0000028	0.0408911066046791
FBgn0000032	0.416518886102717
FBgn0000036	0
FBgn0000037	0.00039360281137969
FBgn0000038	0.00246695971756098
FBgn0000039	0
FBgn0000042	0.118288894266517
FBgn0000043	0.335945834967802
FBgn0000044	0.00749321861225969
FBgn0000045	0
FBgn0000046	0.00232473956085524
FBgn0000047	0.00629976072604277
FBgn0000052	0.25930926208835
FBgn0000053	0.223657189564345
FBgn0000055	0.0152626436705869
FBgn0000056	0.0152899409316039
FBgn0000057	0.197486666396174
FBgn0000061	0
FBgn0000063	0.767887323336511
FBgn0000064	0.042933936113564
FBgn0000071	0
FBgn0000075	0.135876035209041
FBgn0000077	0.217788847287331
FBgn0000078	0
FBgn0000079	9.58550521149912e-05
FBgn0000083	0.0318866185220914
FBgn0000084	0.0622499877990067
FBgn0000092	0
FBgn0000097	0.267718311904577
FBgn0000100	0.155102670710157
FBgn0000108	0.00394296366564491
FBgn0000109	0.157490504390425
FBgn0000114	0.866142147051637
FBgn0000115	0.173468713901342
FBgn0000116	0.0173551540180341
FBgn0000117	0.174631980976455
FBgn0000119	0.141621099397507
FBgn0000120	7.10736440318746e-05
FBgn0000121	7.17448966110804e-05
FBgn0000137	0.72873268603372
FBgn0000139	0.153552744692145
FBgn0000140	0.876403347347976
FBgn0000146	0.824301781165882
FBgn0000147	0.746850644571134
FBgn0000150	0.280956325596809
FBgn0000152	0.235720060372493
FBgn0000153	0.00882845638306367
FBgn0000157	0.00815971070254313
FBgn0000158	0.886207243891966
FBgn0000163	0.13513424674686
FBgn0000166	0.891428760412443
FBgn0000173	0.176134703995108
FBgn0000179	0.0346717525422814
FBgn0000180	0.0600215619619606
FBgn0000181	0.256254350144045
FBgn0000182	0.873423152702039
FBgn0000183	0.23948256464975
FBgn0000206	0
FBgn0000212	0.315341779600217
FBgn0000216	0
FBgn0000221	0.203067910762982
FBgn0000227	0
FBgn0000228	0.222448823160179
FBgn0000229	0.0333416133087462
FBgn0000233	0
FBgn0000239	0.296067606915919
FBgn0000241	0.00625428903402383
FBgn0000244	0.0195979850007515
FBgn0000246	0.685122003606248
FBgn0000247	0.205644030885875
FBgn0000250	0.164142654167965
FBgn0000251	0.277385670307959
FBgn0000253	0.0907339794867822
FBgn0000256	0.100947858937915
FBgn0000257	0.178104169242366
FBgn0000259	0.285106938514766
FBgn0000261	0.0212736350246038
FBgn0000273	0.0797488826528177
FBgn0000274	0.782910784266049
FBgn0000276	0.029317661465749
FBgn0000277	0
FBgn0000278	0
FBgn0000279	0
FBgn0000280	0
FBgn0000283	0.322988376344922
FBgn0000286	0.189025944683062
FBgn0000287	0
FBgn0000289	0.245574538082531
FBgn0000299	0.105837997512555
FBgn0000303	0.00204794532259354
FBgn0000307	0.370002845948802
FBgn0000308	0.153499569407844
FBgn0000316	0.282333931458746
FBgn0000317	0.218550847367908
FBgn0000318	0.112086313568421
FBgn0000319	0.147437820961646
FBgn0000320	0.126987112518219
FBgn0000326	0.1227788861251
FBgn0000330	0.123290338559944
FBgn0000337	0.0786804720330533
FBgn0000339	0.107316317238198
FBgn0000346	0.0466891684802519
FBgn0000351	0.80010855418407
FBgn0000352	0.374896626227885
FBgn0000355	0.747277467207604
FBgn0000356	0.611680072207199
FBgn0000357	0.644673861465836
FBgn0000358	0.74104902314082
FBgn0000359	0.831008983034269
FBgn0000360	0.75613265820055
FBgn0000370	0.0544761373334131
FBgn0000376	0.429068502832546
FBgn0000377	0.182880118296177
FBgn0000382	0.150266709037468
FBgn0000384	0.318435103009214
FBgn0000392	0.770243521856577
FBgn0000394	0.0685872338865923
FBgn0000395	0.0208849670917217
FBgn0000404	0.848291147959289
FBgn0000405	0.853797466566526
FBgn0000406	0.00221502409732785
FBgn0000411	0
FBgn0000412	0.342079589790849
FBgn0000414	0.121102816138731
FBgn0000416	0.0818219716273597
FBgn0000422	0.000671362141767471
FBgn0000426	0.653174058440038
FBgn0000427	0.622186691382324
FBgn0000439	0
FBgn0000442	0.00063018869782109
FBgn0000447	0.24565237304372
FBgn0000448	0.0753003904484752
FBgn0000449	0.10988932436088
FBgn0000451	0.00497340252383932
FBgn0000454	0.28319114615683
FBgn0000455	0.0689074301759719
FBgn0000459	0.0107935845107016
FBgn0000463	0.668399680247172
FBgn0000464	0.200125813272761
FBgn0000473	0.00525400392391804
FBgn0000477	0.000215310942025577
FBgn0000479	0.116504755447607
FBgn0000482	0.149260656293151
FBgn0000489	0.0386192395883922
FBgn0000490	0.0145867585505663
FBgn0000492	0.00156573604046668
FBgn0000499	0.211544614771028
FBgn0000500	0.00540848785739614
FBgn0000504	0.00648872010902391
FBgn0000520	0.216817969322701
FBgn0000524	0.470684691913326
FBgn0000527	0
FBgn0000529	0
